date,tavg,prcp,Volumetric Soil Moisture (in %)
01-01-2019,20.3,0,4.07
02-01-2019,19.9,0,4
03-01-2019,20.2,0,3.95
04-01-2019,20.8,0,3.88
05-01-2019,20.4,0,3.83
06-01-2019,20.6,0,3.78
07-01-2019,20.7,0,3.73
08-01-2019,21.3,0,3.71
09-01-2019,21.3,0,3.67
10-01-2019,21.1,0,3.62
11-01-2019,21.4,0,3.58
12-01-2019,21.4,0,3.54
13-01-2019,21.5,0,3.51
14-01-2019,20.7,0,3.48
15-01-2019,21.2,0,3.44
16-01-2019,21.4,0,3.41
17-01-2019,21.7,0,3.38
18-01-2019,21.7,0,3.36
19-01-2019,21.8,0,3.33
20-01-2019,21.3,0,3.3
21-01-2019,21.3,0,3.29
22-01-2019,20.4,0,3.27
23-01-2019,22.3,0,3.25
24-01-2019,23.1,0,3.23
25-01-2019,23.3,0,3.22
26-01-2019,23.3,0,3.21
27-01-2019,23.2,0,3.2
28-01-2019,22.8,0,3.19
29-01-2019,21.9,0.8,3.23
30-01-2019,22.1,0,3.22
31-01-2019,21.7,0,3.21
01-02-2019,21.4,0,3.2
02-02-2019,22.4,0,3.19
03-02-2019,22.9,0,3.18
04-02-2019,23.6,0,3.17
05-02-2019,23.7,0,3.17
06-02-2019,24.3,0,3.16
07-02-2019,24.3,0,3.16
08-02-2019,26.4,0,3.15
09-02-2019,23.7,0,17.1
10-02-2019,24.1,0,15.71
11-02-2019,23.1,0,14.98
12-02-2019,22.8,0,14.35
13-02-2019,23.1,0,13.78
14-02-2019,24.6,0,13.27
15-02-2019,25.2,0,12.8
16-02-2019,25.4,0,12.38
17-02-2019,26.3,0,12.02
18-02-2019,25.7,0,11.65
19-02-2019,26.8,0,11.39
20-02-2019,25.4,0,11.15
21-02-2019,25.1,0,10.91
22-02-2019,24.9,0,10.78
23-02-2019,25.1,0,10.67
24-02-2019,25.8,0,10.46
25-02-2019,26.6,0,10.27
26-02-2019,26.2,0,10.09
27-02-2019,26.3,0,9.93
28-02-2019,26.4,0,9.79
01-03-2019,26.3,0,9.72
02-03-2019,25.9,0,9.64
03-03-2019,26.1,0,9.57
04-03-2019,27.8,0,9.46
05-03-2019,27.8,0,9.39
06-03-2019,28.1,0,9.29
07-03-2019,28.4,0,9.18
08-03-2019,28.3,0,9.1
09-03-2019,27.4,0,9.02
10-03-2019,28,0,8.95
11-03-2019,27.8,0,8.89
12-03-2019,27.3,0,8.83
13-03-2019,26.6,0,8.78
14-03-2019,27.2,0,8.72
15-03-2019,27.3,0,8.69
16-03-2019,26.2,0,8.66
17-03-2019,26.6,0,8.62
18-03-2019,26.8,0,8.58
19-03-2019,27.7,0,8.55
20-03-2019,27.7,0,8.52
21-03-2019,27.9,0,8.49
22-03-2019,28.1,0,8.47
23-03-2019,28.8,0,8.44
24-03-2019,28.8,0,8.42
25-03-2019,28.4,0,8.4
26-03-2019,28.3,0,8.37
27-03-2019,27.9,0,0.8
28-03-2019,28.7,0,0.78
29-03-2019,28.7,0,0.76
30-03-2019,28.6,0,0.75
31-03-2019,28.7,0,0.73
01-04-2019,28.7,0,0.72
02-04-2019,28.3,0,0.81
03-04-2019,29,0,0.79
04-04-2019,28.4,0,0.77
05-04-2019,27.7,0,0.75
06-04-2019,28.7,0,0.74
07-04-2019,29.5,0,0.92
08-04-2019,28.4,0,2.93
09-04-2019,28.2,0,5.92
10-04-2019,29.3,1,5.47
11-04-2019,29.2,0,5.28
12-04-2019,30,0,4.77
13-04-2019,29.4,0,4.34
14-04-2019,29.5,0,3.94
15-04-2019,29.1,0,3.59
16-04-2019,29.7,0,3.28
17-04-2019,26.3,0,8.24
18-04-2019,27.2,0,13.99
19-04-2019,27.6,0,14.94
20-04-2019,26.8,0.3,14.08
21-04-2019,27.4,0,12.94
22-04-2019,27.7,0,14.23
23-04-2019,27.9,0,13.46
24-04-2019,28.8,0,12.27
25-04-2019,28.8,0,11.16
26-04-2019,29.6,0,10.17
27-04-2019,30.4,0,9.39
28-04-2019,28.3,0,9.14
29-04-2019,28.2,0,8.45
30-04-2019,24.2,35.1,12.81
01-05-2019,26.3,0,22.07
02-05-2019,27,0,19.85
03-05-2019,27.1,0,18.04
04-05-2019,27.3,0,16.51
05-05-2019,28.6,0,15.18
06-05-2019,28.8,0,15.09
07-05-2019,25.5,0,19.66
08-05-2019,26.7,15,19.54
09-05-2019,27.9,0,17.94
10-05-2019,29.4,0,16.45
11-05-2019,27.3,0,17.07
12-05-2019,27.8,0,18.08
13-05-2019,26.7,0,20.16
14-05-2019,27.9,0,20.16
15-05-2019,25.6,0,23.66
16-05-2019,27.1,0,24.26
17-05-2019,24,0,29.94
18-05-2019,27.7,0,28.93
19-05-2019,28.2,0,26.04
20-05-2019,28,0,24.2
21-05-2019,28.5,0,22.83
22-05-2019,26.9,0,24.48
23-05-2019,26.5,0,24.71
24-05-2019,26.1,0,25.57
25-05-2019,24.8,0,30.24
26-05-2019,26.4,0,31.53
27-05-2019,27.7,37.3,27.98
28-05-2019,27.5,0,29.46
29-05-2019,27.9,0.3,28.11
30-05-2019,27.8,0,28.72
31-05-2019,26.5,0,27.91
01-06-2019,27.5,0,27.3
02-06-2019,26.2,0,28.73
03-06-2019,25.5,0,28.64
04-06-2019,26.9,0,28.15
05-06-2019,25.3,0,31.76
06-06-2019,25.8,20.3,30.69
07-06-2019,25.4,20.1,30.71
08-06-2019,26.3,0,29.08
09-06-2019,26.7,0,28.09
10-06-2019,24.9,0,26.89
11-06-2019,25,0,26.48
12-06-2019,24.2,0,25.32
13-06-2019,24.8,0,25.13
14-06-2019,25.3,0,24.09
15-06-2019,26.5,0,22.95
16-06-2019,26.8,0,21.85
17-06-2019,26.5,0,20.82
18-06-2019,25.9,0,19.95
19-06-2019,26.6,0,20.32
20-06-2019,25.7,1.3,19.69
21-06-2019,24.6,0,21.94
22-06-2019,25.1,0,22.49
23-06-2019,23.8,0,29.49
24-06-2019,24.5,0,31.3
25-06-2019,25,0,29.84
26-06-2019,24.6,0,28.95
27-06-2019,24.9,0,27.99
28-06-2019,25.2,0,26.89
29-06-2019,25.1,0,26.13
30-06-2019,24.6,0,25.23
01-07-2019,25.6,0,24
02-07-2019,25.5,0,23.36
03-07-2019,25.4,0,22.25
04-07-2019,24.4,0,21.35
05-07-2019,23.7,0,21.73
06-07-2019,23.8,0,21.03
07-07-2019,24.5,0,20.36
08-07-2019,24.4,0,19.54
09-07-2019,23.8,0,19.22
10-07-2019,23.2,0,18.5
11-07-2019,24.2,0,18.97
12-07-2019,25.3,0,18.58
13-07-2019,25.2,0,19.31
14-07-2019,24.7,1,19.11
15-07-2019,24.2,0.3,19.24
16-07-2019,24.8,3,18.76
17-07-2019,24.8,3,24.97
18-07-2019,24.3,40.4,28.49
19-07-2019,23.6,1,29.19
20-07-2019,23.4,1.3,27.41
21-07-2019,23,0,27.78
22-07-2019,22.2,3.3,27.49
23-07-2019,22,14,26.85
24-07-2019,24.3,0.3,27.02
25-07-2019,23.8,1,26.68
26-07-2019,22.6,11.2,28.42
27-07-2019,24.1,0,27.28
28-07-2019,23.4,0,27.03
29-07-2019,23.4,0,26.35
30-07-2019,22.9,0,25.7
31-07-2019,24.2,0,24.34
01-08-2019,24.7,0,23.23
02-08-2019,23.6,0,22.49
03-08-2019,23.8,0,21.52
04-08-2019,23.8,0,20.62
05-08-2019,22.4,2,20.99
06-08-2019,21.8,2.8,23.58
07-08-2019,22.1,2,28.81
08-08-2019,22,3,28.99
09-08-2019,21.8,21.1,28.63
10-08-2019,22.7,0.8,27.08
11-08-2019,23,0,26.15
12-08-2019,23.2,6.1,27.71
13-08-2019,23.1,19.1,27.4
14-08-2019,22.8,0.3,27.8
15-08-2019,23.2,9.1,28.35
16-08-2019,23.1,0,28.36
17-08-2019,22.2,3,31.38
18-08-2019,21.7,24.1,31.72
19-08-2019,23.5,11.7,32.2
20-08-2019,22.8,17.5,32.29
21-08-2019,23.2,16.5,32.25
22-08-2019,22.7,0,32.24
23-08-2019,22.7,5.3,32.21
24-08-2019,22.7,1.5,30.91
25-08-2019,23,0,28.62
26-08-2019,23,0,27.02
27-08-2019,23.9,0.3,25.81
28-08-2019,23.7,0,25.51
29-08-2019,24.1,0,24.59
30-08-2019,24.3,0,24.11
31-08-2019,23,0,24.13
01-09-2019,23,0,24.34
02-09-2019,22.3,0.5,27.17
03-09-2019,22.2,13,29.91
04-09-2019,22.2,4.6,28.5
05-09-2019,22.6,0,27.4
06-09-2019,22.8,0.5,26.75
07-09-2019,23.2,2.3,25.24
08-09-2019,23.6,0.3,23.92
09-09-2019,24.1,0.3,22.59
10-09-2019,24.2,0,22.16
11-09-2019,24.1,0,21.99
12-09-2019,24,0,25.44
13-09-2019,24.7,0.5,25.52
14-09-2019,25.1,0,26.2
15-09-2019,24.8,0,25.91
16-09-2019,23.2,0.3,27.86
17-09-2019,23.2,30.7,28.44
18-09-2019,23.9,0.5,29.33
19-09-2019,24.2,0.3,28.71
20-09-2019,24.2,1.8,27.59
21-09-2019,25.2,0,26.39
22-09-2019,23.2,7.9,27.37
23-09-2019,23.7,13,31.44
24-09-2019,23.5,29.7,32.3
25-09-2019,23.2,23.6,32.35
26-09-2019,23.9,1.8,31.38
27-09-2019,23.9,0,30.61
28-09-2019,24.7,6.1,29.47
29-09-2019,24.7,0,27.79
30-09-2019,25.2,0,26.28
01-10-2019,23.5,0,29
02-10-2019,23.8,22.1,32.33
03-10-2019,23.5,7.9,31.9
04-10-2019,23,2.3,31.51
05-10-2019,23.5,8.6,31.37
06-10-2019,24.3,0.5,29.83
07-10-2019,24.1,0,28.98
08-10-2019,23.3,0,29.2
09-10-2019,24.3,5.6,28.55
10-10-2019,24.7,0,27.41
